PLAYER,POS,TEAM,BYE,FPS,VORP,POS_RANK,PASS_TD
James Conner,RB,ARI,14,10.0,-36.2,101,0.0
Kaleb Johnson,RB,PIT,9,9.9,-36.3,102,0.0
Patrick Taylor,RB,SF,8,9.7,-36.5,103,0.0
Jaleel McLaughlin,RB,DEN,10,8.9,-37.1,104,0.0
Jarquez Hunter,RB,LAR,11,8.4,-37.5,105,0.0
Devin Neal,RB,NO,8,7.7,-38.1,106,0.0
Dylan Laube,RB,LV,13,7.7,-38.1,107,0.0
Pierre Strong,RB,GB,11,3.3,-41.6,108,0.0
Jaxon Smith-Njigba,WR,SEA,11,300.9,220.4,1,0.0
Ja'Marr Chase,WR,CIN,6,299.8,219.3,2,0.0
Puka Nacua,WR,LAR,11,288.9,208.4,3,0.0
Amon-Ra St. Brown,WR,DET,6,263.2,182.7,4,0.0
Drake London,WR,ATL,11,234.2,153.7,5,0.0
George Pickens,WR,DAL,14,233.1,152.6,6,0.0
CeeDee Lamb,WR,DAL,14,222.7,142.2,7,0.0
Justin Jefferson,WR,MIN,6,221.4,140.9,8,0.0
A.J. Brown,WR,NE,11,216.4,135.9,9,0.0
Nico Collins,WR,HOU,8,212.5,132.0,10,0.0
Tee Higgins,WR,CIN,6,211.0,130.5,11,0.0
Tetairoa McMillan,WR,CAR,5,207.9,127.3,12,0.0
Zay Flowers,WR,BAL,13,204.8,124.3,13,0.0
Terry McLaurin,WR,WSH,7,200.4,119.9,14,0.0
DeVonta Smith,WR,PHI,10,198.1,117.6,15,0.0
Rashee Rice,WR,KC,5,197.1,116.6,16,0.0
Jaylen Waddle,WR,DEN,10,196.1,115.6,17,0.0
Ladd McConkey,WR,LAC,7,195.0,114.5,18,0.0
Luther Burden,WR,CHI,10,194.5,114.0,19,0.0
Chris Olave,WR,NO,8,193.1,112.6,20,0.0
Emeka Egbuka,WR,TB,10,190.1,109.6,21,0.0
Davante Adams,WR,LAR,11,189.8,109.3,22,0.0
Garrett Wilson,WR,NYJ,13,189.1,108.6,23,0.0
DJ Moore,WR,BUF,7,188.3,107.8,24,0.0
